Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/26  06:00:00,0.843815388,10.38375313,0,9.701099082,0,0.267103124,0.267103124,0.267103124,0.069660697,0.015177291,0.075981488,0.398780788,0.655186941
 12/26  07:00:00,1.072637412,11.64410143,0,10.4185031,0,0.286855613,0.286855613,0.286855613,0.14628747,0.031872313,0.129758031,0.460751986,1.193862793
 12/26  08:00:00,1.358462557,10.98635434,0,9.608653485,0,0.264557793,0.264557793,0.264557793,0.299540982,0.065262348,0.207405929,0.489583505,1.34397946
 12/26  09:00:00,1.305593847,10.39883371,0,9.063831662,0,0.249557058,0.249557058,0.249557058,0.29257494,0.063744625,0.268690649,0.413914574,1.30649256
 12/26  10:00:00,1.128814643,9.722299482,0,8.508500838,0,0.234266977,0.234266977,0.234266977,0.160219638,0.034907759,0.330033496,0.352274774,1.189534764
 12/26  11:00:00,1.133451643,10.14408632,0,9.069429291,0,0.249711179,0.249711179,0.249711179,0.132355302,0.028836848,0.34487662,0.360559693,1.049822498
 12/26  12:00:00,1.090262842,7.855074426,0,6.906869569,0,0.190168807,0.190168807,0.190168807,0.132355302,0.028836848,0.361119726,0.360670159,0.923362721
 12/26  13:00:00,1.049010552,6.817189289,0,5.96608351,0,0.164265876,0.164265876,0.164265876,0.132355302,0.028836848,0.351845974,0.354594551,0.826682116
 12/26  14:00:00,1.020518221,6.514493172,0,5.720714276,0,0.157510055,0.157510055,0.157510055,0.132355302,0.028836848,0.317847783,0.366856232,0.768510677
 12/26  15:00:00,1.049178574,7.04838259,0,6.310591856,0,0.173751323,0.173751323,0.173751323,0.14628747,0.031872313,0.292642171,0.387513298,0.711099704
 12/26  16:00:00,1.148603586,7.049454058,0,6.303050693,0,0.17354369,0.17354369,0.17354369,0.202016058,0.044014134,0.302863616,0.409054088,0.718228654
 12/26  17:00:00,1.481603845,7.568365034,0,6.747261956,0,0.185774285,0.185774285,0.185774285,0.362235612,0.078921911,0.353720743,0.483839294,0.787777334
 12/26  18:00:00,2.047507055,9.166569804,0,8.190523293,0,0.22551201,0.22551201,0.22551201,0.633912342,0.138113348,0.445069937,0.587787417,0.935561058
 12/26  19:00:00,2.295361803,8.15099172,0,7.036958183,0,0.193750574,0.193750574,0.193750574,0.835928316,0.182127482,0.398283704,0.638159727,1.070078554
 12/26  20:00:00,2.131261242,8.034681891,0,6.89752592,0,0.189911545,0.189911545,0.189911545,0.780199812,0.169985661,0.315345897,0.658706327,1.091785785
 12/26  21:00:00,2.033501817,8.098347733,0,7.039319957,0,0.193815601,0.193815601,0.193815601,0.71053914,0.154808375,0.275874928,0.681351773,1.012097823
 12/26  22:00:00,1.875009956,8.386971874,0,7.427529469,0,0.204504284,0.204504284,0.204504284,0.599081964,0.130524696,0.258342283,0.665444728,0.913608094
 12/26  23:00:00,1.548034947,8.28443638,0,7.489910754,0,0.206221846,0.206221846,0.206221846,0.445828452,0.097134661,0.205880856,0.575857133,0.754861903
 12/26  24:00:00,1.25706679,8.674611023,0,8.057662367,0,0.221853913,0.221853913,0.221853913,0.31347315,0.068297813,0.135920782,0.500409133,0.582481619
 12/27  01:00:00,0.945250905,8.882204523,0,8.452594515,0,0.232727692,0.232727692,0.232727692,0.160219638,0.034907759,0.086369242,0.413914574,0.401100518
 12/27  02:00:00,0.828927995,9.050354535,0,8.70574383,0,0.239697724,0.239697724,0.239697724,0.097525008,0.021248214,0.072238755,0.381106294,0.318360975
 12/27  03:00:00,0.774974144,9.223365009,0,8.902135293,0,0.245105026,0.245105026,0.245105026,0.06269463,0.013659563,0.059715255,0.37668767,0.29528433
 12/27  04:00:00,0.769698358,9.488335996,0,9.161123332,0,0.252235818,0.252235818,0.252235818,0.06269463,0.013659563,0.052611026,0.371385321,0.301632492
 12/27  05:00:00,0.769961359,9.689876851,0,9.297374736,0,0.255987266,0.255987266,0.255987266,0.06269463,0.013659563,0.063151709,0.357356191,0.367888237
 12/27  06:00:00,0.837640267,10.16091615,0,9.476820687,0,0.260928003,0.260928003,0.260928003,0.069660697,0.015177291,0.075981488,0.398780788,0.656628356
 12/27  07:00:00,1.04366925,10.5946362,0,9.36638883,0,0.257887451,0.257887451,0.257887451,0.14628747,0.031872313,0.129758031,0.460751986,1.196511825
 12/27  08:00:00,1.343868934,10.45939762,0,9.078617808,0,0.24996417,0.24996417,0.24996417,0.299540982,0.065262348,0.207405929,0.489583505,1.347058424
 12/27  09:00:00,1.302308378,10.28259123,0,8.944504493,0,0.246271589,0.246271589,0.246271589,0.29257494,0.063744625,0.268690649,0.413914574,1.309577242
 12/27  10:00:00,1.128636872,9.718373179,0,8.502044271,0,0.234089206,0.234089206,0.234089206,0.160219638,0.034907759,0.330033496,0.352274774,1.192065027
 12/27  11:00:00,1.142653847,10.48030195,0,9.40365038,0,0.258913384,0.258913384,0.258913384,0.132355302,0.028836848,0.34487662,0.360559693,1.051817043
