Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/12  18:00:00,1.513913852,1.849975538,0,0.924552735,0,0.025455974,0.025455974,0.025455974,0.409256585,0.089166582,0.402558891,0.540363821,0.888203779
 10/12  19:00:00,1.704016064,1.838235678,0,0.893354126,0,0.024596974,0.024596974,0.024596974,0.643897005,0.140288752,0.320359612,0.557761721,0.9064642
 10/12  20:00:00,1.764424168,1.801292709,0,0.919946069,0,0.025329137,0.025329137,0.025329137,0.709378119,0.154555418,0.281112667,0.576936826,0.84160855
 10/12  21:00:00,1.600441117,1.957843499,0,1.156479067,0,0.031841668,0.031841668,0.031841668,0.594786295,0.129588761,0.263644909,0.563467484,0.762554079
 10/12  22:00:00,1.30397609,2.240334235,0,1.569945607,0,0.043225759,0.043225759,0.043225759,0.447453915,0.097488789,0.211086729,0.487608897,0.636803242
 10/12  23:00:00,1.019854262,2.686016086,0,2.156045564,0,0.059363017,0.059363017,0.059363017,0.311034998,0.067766601,0.140854588,0.423723058,0.500785446
 10/12  24:00:00,0.725375551,3.062972448,0,2.683021373,0,0.073872392,0.073872392,0.073872392,0.158245844,0.034477737,0.091184068,0.35048351,0.355810572
 10/13  01:00:00,0.619127404,3.317193381,0,3.005230905,0,0.082743878,0.082743878,0.082743878,0.098221587,0.021399981,0.076946966,0.322702991,0.289735432
 10/13  02:00:00,0.573286503,3.674244942,0,3.380997809,0,0.093089976,0.093089976,0.093089976,0.065481055,0.014266654,0.064375311,0.318961507,0.271277793
 10/13  03:00:00,0.57014676,3.991021254,0,3.693141975,0,0.10168433,0.10168433,0.10168433,0.065481055,0.014266654,0.057130995,0.314471727,0.276219185
 10/13  04:00:00,0.57807243,4.38371468,0,4.034259442,0,0.111076414,0.111076414,0.111076414,0.065481055,0.014266654,0.067543792,0.302592515,0.328613357
 10/13  05:00:00,0.637699138,4.802589292,0,4.220649511,0,0.116208345,0.116208345,0.116208345,0.070937812,0.015455542,0.080316512,0.337668927,0.558681917
 10/13  06:00:00,0.849628367,5.69658626,0,4.681620994,0,0.128900404,0.128900404,0.128900404,0.147332381,0.032099972,0.134040371,0.39014324,0.988093092
 10/13  07:00:00,1.133103911,5.102724026,0,3.968867038,0,0.109275946,0.109275946,0.109275946,0.300121534,0.065388817,0.21164919,0.414556423,1.105303289
 10/13  08:00:00,1.053649513,4.273623284,0,3.175621685,0,0.087435296,0.087435296,0.087435296,0.267380978,0.058255502,0.272982227,0.35048351,1.073861097
 10/13  09:00:00,0.872295388,3.289282307,0,2.289476694,0,0.063036814,0.063036814,0.063036814,0.130962144,0.028533314,0.334361307,0.298289809,0.979260094
 10/13  10:00:00,0.845059502,2.604836284,0,1.716297082,0,0.047255296,0.047255296,0.047255296,0.10367836,0.022588873,0.349119881,0.305305091,0.867510485
 10/13  11:00:00,0.831108679,1.40947157,0,0.620416762,0,0.017082111,0.017082111,0.017082111,0.10367836,0.022588873,0.365248706,0.305398628,0.768019648
 10/13  12:00:00,0.802528437,0.813315492,0,0.101294805,0,0.002788979,0.002788979,0.002788979,0.10367836,0.022588873,0.356106137,0.300254088,0.691339871
 10/13  13:00:00,0.776295387,0.667081842,0,0,0,0,0,0,0.10367836,0.022588873,0.322279448,0.310636706,0.645685896
 10/13  14:00:00,0.768546057,0.622582538,0,0,0,0,0,0,0.10367836,0.022588873,0.29703868,0.328128143,0.599981821
 10/13  15:00:00,0.803516537,0.630399835,0,0,0,0,0,0,0.109135134,0.023777747,0.307123779,0.346367877,0.606542808
 10/13  16:00:00,0.950637512,0.690552563,0,0,0,0,0,0,0.136418834,0.029722188,0.357691996,0.409692493,0.662333881
 10/13  17:00:00,1.250273211,1.336999869,0,0.521078321,0,0.014346998,0.014346998,0.014346998,0.223726957,0.048744404,0.448631948,0.497710904,0.781640359
 10/13  18:00:00,1.490701224,1.0099555,0,0.081477595,0,0.002243346,0.002243346,0.002243346,0.409256585,0.089166582,0.402558891,0.540363821,0.89125888
 10/13  19:00:00,1.688129056,1.264847404,0,0.316343116,0,0.008709965,0.008709965,0.008709965,0.643897005,0.140288752,0.320359612,0.557761721,0.910086936
 10/13  20:00:00,1.754332836,1.438063304,0,0.553432145,0,0.015237805,0.015237805,0.015237805,0.709378119,0.154555418,0.281112667,0.576936826,0.844893069
 10/13  21:00:00,1.599803706,1.937542329,0,1.133328495,0,0.031204256,0.031204256,0.031204256,0.594786295,0.129588761,0.263644909,0.563467484,0.765403482
 10/13  22:00:00,1.301635057,2.157491831,0,1.484920053,0,0.040884727,0.040884727,0.040884727,0.447453915,0.097488789,0.211086729,0.487608897,0.638986392
 10/13  23:00:00,1.02012951,2.697301482,0,2.166042502,0,0.059638265,0.059638265,0.059638265,0.311034998,0.067766601,0.140854588,0.423723058,0.502073904
 10/13  24:00:00,0.728671658,3.183217572,0,2.802734933,0,0.077168499,0.077168499,0.077168499,0.158245844,0.034477737,0.091184068,0.35048351,0.356342137
 10/14  01:00:00,0.628784464,3.531642854,0,3.212617551,0,0.088453914,0.088453914,0.088453914,0.098221587,0.021399981,0.08089399,0.322702991,0.296798259
 10/14  02:00:00,0.579656164,3.815567409,0,3.517502491,0,0.096848398,0.096848398,0.096848398,0.065481055,0.014266654,0.06698655,0.318961507,0.276095579
 10/14  03:00:00,0.577092332,4.199219661,0,3.895811878,0,0.107264498,0.107264498,0.107264498,0.065481055,0.014266654,0.058496399,0.314471727,0.281747689
 10/14  04:00:00,0.58630765,4.596965918,0,4.236344463,0,0.116640479,0.116640479,0.116640479,0.065481055,0.014266654,0.070214948,0.302592515,0.339779574
 10/14  05:00:00,0.648175978,5.066606099,0,4.452374392,0,0.122588492,0.122588492,0.122588492,0.070937812,0.015455542,0.084413205,0.337668927,0.590973844
 10/14  06:00:00,0.865961853,5.978001995,0,4.888932727,0,0.134608377,0.134608377,0.134608377,0.147332381,0.032099972,0.144665883,0.39014324,1.062197093
 10/14  07:00:00,1.179649765,6.115137894,0,4.890823598,0,0.134660439,0.134660439,0.134660439,0.300121534,0.065388817,0.232810552,0.414556423,1.195760598
 10/14  08:00:00,1.112204407,5.315730138,0,4.124204252,0,0.11355289,0.11355289,0.11355289,0.267380978,0.058255502,0.305419527,0.35048351,1.167385384
 10/14  09:00:00,0.956335857,4.792006768,0,3.706285894,0,0.102046225,0.102046225,0.102046225,0.130962144,0.028533314,0.379392366,0.298289809,1.065175355
 10/14  10:00:00,0.956719389,4.884690326,0,3.922487091,0,0.107998954,0.107998954,0.107998954,0.10367836,0.022588873,0.40003611,0.305305091,0.941174518
 10/14  11:00:00,0.945500206,3.718284834,0,2.868705267,0,0.078984879,0.078984879,0.078984879,0.10367836,0.022588873,0.417737466,0.305398628,0.828544408
 10/14  12:00:00,0.905620751,2.872893262,0,2.109112202,0,0.058070787,0.058070787,0.058070787,0.10367836,0.022588873,0.403916643,0.300254088,0.743100245
